,Unnamed: 0,index,mr_new,da,text,num_hops,num_triples,shape,test_pseudo_utt,pred,probs,LM_prob,PPL,pseudo_bleu,scores,criteria,da_acc,
61861,61861,17,Michael Jackson rating top rated. Vyprávěj cast member Michael Jackson. Michael Jackson domain actor.,verify_attribute,You said Michael Jackson was top rated in Vyprávěj. Do you usually rate Michael Jackson's acting highly?,2,3,(X (X (X))),Michael Jackson top rated Michael Jackson Vyprávěj,verify_attribute,0.9799290299,0.008195944811,122.0115585,6.336859268,0.8743319,match_scores,1,17
48907,48907,18,Arthur Miller spouse Marilyn Monroe. Arthur Miller spouse Inge Morath. Marilyn Monroe domain actor.,recommend,Have you heard of Arthur Miller? He was married to both Marilyn Monroe and Inge Morath. Monroe was an actor.,2,3,(X (X (X))),Marilyn Monroe Arthur Miller Inge Morath,recommend,0.81851035,0.01438420056,69.52072144,5.70421226,0.8166123,match_scores,1,20
48919,48919,19,Arthur Miller spouse Marilyn Monroe. Arthur Miller occupation screenwriter. Marilyn Monroe domain actor.,recommend,Have you heard of Marilyn Monroe? She was an actor and the wife of screenwriter Arthur Miller.,2,3,(X (X (X))),Marilyn Monroe Arthur Miller screenwriter,recommend,0.85211647,0.03799715961,26.31775665,6.054506513,0.8334239,match_scores,1,17
17733,17733,20,Michael Jackson occupation film actor. Käthe Haack occupation film actor. Michael Jackson domain actor.,inform,Michael Jackson is a film actor and Käthe Haack is a film actor.,2,3,(X (X (X))),Michael Jackson film actor Käthe Haack,inform,0.2795189619,0.007185953881,139.1603699,9.837489906,0.90062124,match_scores,1,13
17746,17746,21,Michael Jackson occupation film actor. Avijit Banerjee place of birth film actor. Michael Jackson domain actor.,inform,Michael Jackson is a film actor from Avijit Banerjee.,2,3,(X (X (X))),Michael Jackson film actor Avijit Banerjee,inform,0.3684493899,0.009373578198,106.6828461,14.53576842,0.97256005,match_scores,1,9
48947,48947,22,Michael Jackson place of birth Gary. Janet Jackson place of birth Gary. Michael Jackson domain actor.,recommend," Have you ever checked out Michael Jackson? He's an actor born in Gary, just like his sister Janet Jackson.",2,3,(X (X (X))),Michael Jackson Gary Janet Jackson,recommend,0.8213024,0.02047643742,48.83662033,5.165604006,0.818095,match_scores,1,19
48955,48955,23,Michael Jackson spouse Lisa Marie Presley. Lisa Marie Presley spouse Nicolas Cage. Michael Jackson domain actor.,recommend," Are you familiar with Michael Jackson? He's an actor, and his wife was Lisa Marie Presley who was married to Nicolas Cage.",2,3,(X (X (X))),Michael Jackson Lisa Marie Presley Nicolas Cage,recommend,0.8509076,0.02747089109,36.40216827,8.240556988,0.81623334,match_scores,1,22
61934,61934,24,Dwayne Johnson rating moderately rated. That Wrestling Show cast member Dwayne Johnson. Dwayne Johnson domain actor.,verify_attribute,You said That Wrestling Show was only moderately rated when Dwayne Johnson was in it. Do you usually have this opinion of movies or shows featuring Dwayne Johnson?,2,3,(X (X (X))),Dwayne Johnson moderately rated Dwayne Johnson That Wrestling Show,verify_attribute,0.9872274399,0.01319125999,75.80776978,7.647779669,0.8659621,match_scores,1,28
48976,48976,25,Michael Jackson spouse Lisa Marie Presley. Lisa Marie Presley occupation composer. Michael Jackson domain actor.,recommend," Have you heard of Michael Jackson? He was an actor and his wife was Lisa Marie Presley, a composer.",2,3,(X (X (X))),Michael Jackson Lisa Marie Presley composer,recommend,0.859199,0.02652293333,37.70322037,8.461633959,0.81971264,match_scores,1,19
48983,48983,26,Michael Jackson spouse Lisa Marie Presley. Lisa Marie Presley sex or gender female. Michael Jackson domain actor.,recommend," Did you know about Michael Jackson? His wife is Lisa Marie Presley, a female actor.",2,3,(X (X (X))),Michael Jackson Lisa Marie Presley female,recommend,0.79062164,0.01519807696,65.79779816,10.52149517,0.85593307,match_scores,1,15
17808,17808,27,Michael Jackson spouse Lisa Marie Presley. Lisa Marie Presley date of birth 1968. Michael Jackson domain actor.,inform," Michael Jackson is an actor who was married to Lisa Marie Presley, born in 1968.",2,3,(X (X (X))),Michael Jackson Lisa Marie Presley 1968,inform,0.3508093655,0.02211786413,45.21232224,11.20375434,0.8540648,match_scores,1,15
56319,56319,28,Michael Jackson spouse Lisa Marie Presley. Michael Lockwood spouse Lisa Marie Presley. Michael Jackson domain actor.,suggest," Are you familiar with the work of actors who were married to Lisa Marie Presley, like Michael Jackson and Michael Lockwood?",2,3,(X (X (X))),Michael Jackson Lisa Marie Presley Michael Lockwood,suggest,0.89612544,0.01347604196,74.20576477,9.009113474,0.87607527,match_scores,1,21
17820,17820,29,Lisa Marie Presley spouse Michael Jackson. Lisa Marie Presley spouse Nicolas Cage. Michael Jackson domain actor.,inform,Lisa Marie Presley is an actor who was married to Michael Jackson and Nicolas Cage.,2,3,(X (X (X))),Michael Jackson Lisa Marie Presley Nicolas Cage,inform,0.4056960344,0.01576696381,63.42375183,13.38016138,0.8903959,match_scores,1,15
61995,61995,30,Jennifer Connelly rating moderately rated. Blood Diamond cast member Jennifer Connelly. Jennifer Connelly domain actor.,verify_attribute,You said that Jennifer Connelly was moderately rated in Blood Diamond. Do you usually rate Jennifer Connelly's performances as moderate?,2,3,(X (X (X))),Jennifer Connelly moderately rated Jennifer Connelly Blood Diamond,verify_attribute,0.9792819023,0.01379915591,72.46820068,6.218361043,0.9002209,match_scores,1,20
49033,49033,31,Dwayne Johnson occupation executive producer. Ben Affleck occupation executive producer. Dwayne Johnson domain actor.,recommend,Have you seen the work of Dwayne Johnson? He's an actor and executive producer. Ben Affleck is another one in the same field.,2,3,(X (X (X))),Dwayne Johnson executive producer Ben Affleck,recommend,0.898819,0.04301065389,23.25005341,5.004175369,0.7965341,match_scores,1,23
17850,17850,32,Dwayne Johnson spouse Lauren Hashian. Lauren Hashian occupation singer. Dwayne Johnson domain actor.,inform,Dwayne Johnson is an actor married to singer Lauren Hashian.,2,3,(X (X (X))),Dwayne Johnson Lauren Hashian singer,inform,0.3431206346,0.004103603978,243.6882324,11.20846675,0.9044138,match_scores,1,10
17867,17867,33,Dwayne Johnson spouse Lauren Hashian. Lauren Hashian place of birth Lynnfield. Dwayne Johnson domain actor.,inform," Dwayne Johnson is an actor married to Lauren Hashian, who was born in Lynnfield.",2,3,(X (X (X))),Dwayne Johnson Lauren Hashian Lynnfield,inform,0.3764578402,0.008943337009,111.8150864,7.314031827,0.8660392,match_scores_PPL,1,14
17878,17878,34,Dwayne Johnson spouse Lauren Hashian. Lauren Hashian sex or gender female. Dwayne Johnson domain actor.,inform,Dwayne Johnson is an actor who is married to female Lauren Hashian.,2,3,(X (X (X))),Dwayne Johnson Lauren Hashian female,inform,0.3693861067,0.005098037019,196.1539307,9.23843021,0.86835223,match_scores,1,12
17886,17886,35,Dwayne Johnson spouse Lauren Hashian. Lauren Hashian date of birth 1984. Dwayne Johnson domain actor.,inform," Dwayne Johnson is an actor married to Lauren Hashian, who was born in 1984.",2,3,(X (X (X))),Dwayne Johnson Lauren Hashian 1984,inform,0.4309209883,0.01142934675,87.49406433,7.314031827,0.8576592,match_scores,1,14
17890,17890,36,That Wrestling Show cast member Dwayne Johnson. That Wrestling Show cast member Mila Kunis. Dwayne Johnson domain actor.,inform,Dwayne Johnson and Mila Kunis are cast members in That Wrestling Show.,2,3,(X (X (X))),Dwayne Johnson That Wrestling Show Mila Kunis,inform,0.3947224319,0.008353738826,119.7068787,16.90062199,0.92206866,match_scores,1,12
17900,17900,37,Dany Garcia spouse Dwayne Johnson. Dany Garcia occupation businessperson. Dwayne Johnson domain actor.,inform,Dany Garcia is a businessperson married to actor Dwayne Johnson.,2,3,(X (X (X))),Dwayne Johnson Dany Garcia businessperson,inform,0.3615060151,0.01249041816,80.06137085,11.20846675,0.89955753,match_scores,1,10
17914,17914,38,Dany Garcia spouse Dwayne Johnson. Dany Garcia place of birth Belleville. Dwayne Johnson domain actor.,inform,Dany Garcia is an actor from Belleville who is married to Dwayne Johnson.,2,3,(X (X (X))),Dwayne Johnson Dany Garcia Belleville,inform,0.4047095776,0.01671028929,59.84336853,8.493098745,0.8805067,match_scores_PPL,1,13
17923,17923,39,Dany Garcia spouse Dwayne Johnson. Dany Garcia sex or gender female. Dwayne Johnson domain actor.,inform,Dany Garcia is a female actor married to Dwayne Johnson.,2,3,(X (X (X))),Dwayne Johnson Dany Garcia female,inform,0.4812840223,0.01165844471,85.7747345,11.20846675,0.89705265,match_scores,1,10
17937,17937,40,Jennifer Connelly place of birth Cairo. Daniel F. Johnson place of birth Cairo. Jennifer Connelly domain actor.,inform,Jennifer Connelly is an actor born in Cairo. Daniel F. Johnson is also from Cairo.,2,3,(X (X (X))),Jennifer Connelly Cairo Daniel F. Johnson,inform,0.3543962538,0.01255010823,79.68058777,16.6174293,0.8608556,match_scores,1,15
17939,17939,41,Jennifer Connelly spouse Paul Bettany. Paul Bettany occupation actor. Jennifer Connelly domain actor.,inform,Jennifer Connelly is an actor who is married to actor Paul Bettany.,2,3,(X (X (X))),Jennifer Connelly Paul Bettany actor,inform,0.2701688409,0.03294496387,30.35365295,9.23843021,0.8924979,match_scores,1,12
62110,62110,42,Ronald Reagan rating top rated. Beyond the Line of Duty cast member Ronald Reagan. Ronald Reagan domain actor.,verify_attribute,You said Ronald Reagan was top rated in Beyond the Line of Duty. Do you usually rate Ronald Reagan's performances highly?,2,3,(X (X (X))),Ronald Reagan top rated Ronald Reagan Beyond the Line of Duty,verify_attribute,0.9797620177,0.008450416373,118.3373642,20.28736642,0.8968783,match_scores,1,21
62129,62129,43,Taika Waititi rating moderately rated. Taika Waititi occupation screenwriter. Taika Waititi domain actor.,verify_attribute,You said that Taika Waititi was only moderately rated. Do you usually find screenwriting from Taika Waititi to be average?,2,3,(X (X (X))),Taika Waititi moderately rated Taika Waititi screenwriter,verify_attribute,0.9857770801,0.01933941423,51.7078743,5.983278753,0.87347203,match_scores,1,20
17973,17973,44,Jennifer Connelly spouse Paul Bettany. Paul Bettany date of birth 1971. Jennifer Connelly domain actor.,inform," Jennifer Connelly is an actor married to Paul Bettany, who was born in 1971.",2,3,(X (X (X))),Jennifer Connelly Paul Bettany 1971,inform,0.419036746,0.02990424263,33.44007111,7.314031827,0.84431124,match_scores,1,14
56486,56486,45,Jennifer Connelly place of birth Cairo. Daniel F. Johnson place of birth Cairo. Jennifer Connelly domain actor.,suggest," Are you familiar with the work of actors from Cairo, like Jennifer Connelly and Daniel F. Johnson?",2,3,(X (X (X))),Jennifer Connelly Cairo Daniel F. Johnson,suggest,0.9564196,0.01218946607,82.03804779,14.81394579,0.8660579,match_scores,1,17
56492,56492,46,Blood Diamond cast member Jennifer Connelly. Blood Diamond cast member Leonardo DiCaprio. Jennifer Connelly domain actor.,suggest," Are you familiar with the work of actors who were in Blood Diamond, like Jennifer Connelly and Leonardo DiCaprio?",2,3,(X (X (X))),Jennifer Connelly Blood Diamond Leonardo DiCaprio,suggest,0.93575317,0.02814263484,35.5332756,6.291102779,0.876055,match_scores,1,19
18002,18002,47,Paul Bettany spouse Jennifer Connelly. Paul Bettany occupation actor. Jennifer Connelly domain actor.,inform,Paul Bettany is an actor who is married to Jennifer Connelly.,2,3,(X (X (X))),Jennifer Connelly Paul Bettany actor,inform,0.4436251819,0.02410338903,41.48794174,10.12799301,0.9069977,match_scores_PPL,1,11
62175,62175,48,Taika Waititi rating moderately rated. Green Lantern cast member Taika Waititi. Taika Waititi domain actor.,verify_attribute,You said Taika Waititi was moderately rated in Green Lantern. Do you usually think Taika Waititi is an average actor?,2,3,(X (X (X))),Taika Waititi moderately rated Taika Waititi Green Lantern,verify_attribute,0.978762567,0.02029130199,49.28219986,6.908895197,0.9013933,match_scores,1,20
18027,18027,49,Paul Bettany spouse Jennifer Connelly. Paul Bettany sex or gender male. Jennifer Connelly domain actor.,inform,Paul Bettany is a male actor married to Jennifer Connelly.,2,3,(X (X (X))),Jennifer Connelly Paul Bettany male,inform,0.5280551314,0.01331092639,75.12625122,11.20846675,0.8869462,match_scores_PPL,1,10
49226,49226,50,Ryan Reynolds spouse Scarlett Johansson. Scarlett Johansson occupation singer. Ryan Reynolds domain actor.,recommend,Have you heard of Ryan Reynolds? He's an actor who's married to singer Scarlett Johansson.,2,3,(X (X (X))),Ryan Reynolds Scarlett Johansson singer,recommend,0.932042,0.04234052267,23.61803627,6.839596062,0.8440302,match_scores,1,15
18045,18045,51,Ryan Reynolds occupation screenwriter. http://www.wikidata.org/entity/Q109382072 cast member screenwriter. Ryan Reynolds domain actor.,inform,Ryan Reynolds is an actor and screenwriter best known for his work on http://www.wikidata.org/entity/Q109382072.,2,3,(X (X (X))),Ryan Reynolds screenwriter http://www.wikidata.org/entity/Q109382072,inform,0.5873170495,0.02421978673,41.28855515,48.27718228,0.92582875,match_scores,1,14
18054,18054,52,Ryan Reynolds place of birth Vancouver. Yvonne De Carlo place of birth Vancouver. Ryan Reynolds domain actor.,inform," Ryan Reynolds is an actor born in Vancouver, as is Yvonne De Carlo.",2,3,(X (X (X))),Ryan Reynolds Vancouver Yvonne De Carlo,inform,0.3191336393,0.01454310149,68.76112366,12.87433051,0.8902564,match_scores,1,13
18065,18065,53,Ryan Reynolds spouse Scarlett Johansson. Scarlett Johansson occupation actor. Ryan Reynolds domain actor.,inform," Ryan Reynolds is an actor married to Scarlett Johansson, another actor.",2,3,(X (X (X))),Ryan Reynolds Scarlett Johansson actor,inform,0.3448076546,0.01381162462,72.40277863,9.23843021,0.89823693,match_scores,1,11
62229,62229,54,Arnold Schwarzenegger rating top rated. The Last Stand cast member Arnold Schwarzenegger. Arnold Schwarzenegger domain actor.,verify_attribute,You said that Arnold Schwarzenegger was top rated in The Last Stand. Do you usually rate Arnold Schwarzenegger's performances highly?,2,3,(X (X (X))),Arnold Schwarzenegger top rated Arnold Schwarzenegger The Last Stand,verify_attribute,0.9875325561,0.01505722854,66.4132843,9.770653288,0.90831745,match_scores,1,20
49279,49279,55,Ryan Reynolds spouse Scarlett Johansson. The Prestige cast member Scarlett Johansson. Ryan Reynolds domain actor.,recommend,Have you seen Ryan Reynolds in The Prestige? He's an actor and he's married to Scarlett Johansson.,2,3,(X (X (X))),Ryan Reynolds Scarlett Johansson The Prestige,recommend,0.86148,0.04413744798,22.65649796,7.01288758,0.8292551,match_scores,1,17
18089,18089,56,Ryan Reynolds spouse Scarlett Johansson. Scarlett Johansson sex or gender female. Ryan Reynolds domain actor.,inform,Ryan Reynolds is an actor who is married to female Scarlett Johansson.,2,3,(X (X (X))),Ryan Reynolds Scarlett Johansson female,inform,0.3660967648,0.02048819688,48.80858994,9.23843021,0.86683786,match_scores,1,12
49298,49298,57,Ronald Reagan spouse Nancy Reagan. Nancy Reagan occupation actor. Ronald Reagan domain actor.,recommend," Have you ever heard of Ronald Reagan? His wife, Nancy Reagan, was an actor.",2,3,(X (X (X))),Ronald Reagan Nancy Reagan actor,recommend,0.8461572,0.05794392606,17.25806427,6.423094863,0.8994349,match_scores,1,14
49305,49305,58,Ronald Reagan spouse Nancy Reagan. Nancy Reagan sex or gender female. Ronald Reagan domain actor.,recommend," Are you familiar with actor Ronald Reagan? His wife, Nancy Reagan, is a female.",2,3,(X (X (X))),Ronald Reagan Nancy Reagan female,recommend,0.4050264,0.02514357294,39.771595,6.423094863,0.878645,match_scores,1,14
49315,49315,59,Ronald Reagan spouse Nancy Reagan. Nancy Reagan date of birth 1921. Ronald Reagan domain actor.,recommend," Are you familiar with Ronald Reagan? He's an actor, and his wife Nancy Reagan was born in 1921.",2,3,(X (X (X))),Ronald Reagan Nancy Reagan 1921,recommend,0.7889296,0.03757050902,26.61662102,5.431360808,0.8685868,match_scores,1,18
49328,49328,60,Ronald Reagan spouse Nancy Reagan. Portrait of Jennie cast member Nancy Reagan. Ronald Reagan domain actor.,recommend," Have you ever seen Ronald Reagan's work? His wife, Nancy Reagan, starred in the movie Portrait of Jennie and Ronald Reagan was an actor.",2,3,(X (X (X))),Ronald Reagan Nancy Reagan Portrait of Jennie,recommend,0.7303713,0.03155755096,31.68813705,7.305891545,0.8818907,match_scores,1,24
49334,49334,61,Ronald Reagan place of birth Tampico. Joseph M. Reeves place of birth Tampico. Ronald Reagan domain actor.,recommend," Have you seen any of Ronald Reagan's films? He was born in Tampico, just like Joseph M. Reeves.",2,3,(X (X (X))),Ronald Reagan Tampico Joseph M. Reeves,recommend,0.48303473,0.0205131287,48.74926758,11.96655751,0.873103,match_scores,1,18
18158,18158,62,Ronald Reagan spouse Nancy Reagan. Nancy Reagan sex or gender female. Ronald Reagan domain actor.,inform," Ronald Reagan is an actor who was married to Nancy Reagan, a female.",2,3,(X (X (X))),Ronald Reagan Nancy Reagan female,inform,0.22256504,0.01925911363,51.92346954,7.859438682,0.89399016,match_scores,1,13
49352,49352,63,Nancy Reagan spouse Ronald Reagan. Nancy Reagan occupation actor. Ronald Reagan domain actor.,recommend,Have you heard of Nancy Reagan? She's an actor who was married to Ronald Reagan.,2,3,(X (X (X))),Ronald Reagan Nancy Reagan actor,recommend,0.8278244,0.04613182442,21.67700958,6.839596062,0.9063143,match_scores,1,15
49365,49365,64,Nancy Reagan spouse Ronald Reagan. Nancy Reagan sex or gender female. Ronald Reagan domain actor.,recommend,Have you heard of Nancy Reagan? She's the wife of Ronald Reagan and a female actor.,2,3,(X (X (X))),Ronald Reagan Nancy Reagan female,recommend,0.8582236,0.03817566392,26.19469833,6.423094863,0.8800786,match_scores,1,16
18180,18180,65,Ronald Reagan place of birth Tampico. Joseph M. Reeves place of birth Tampico. Ronald Reagan domain actor.,inform,Ronald Reagan is an actor born in Tampico. Joseph M. Reeves is also from Tampico.,2,3,(X (X (X))),Ronald Reagan Tampico Joseph M. Reeves,inform,0.3953320682,0.01697447405,58.9119873,16.6174293,0.86739486,match_scores,1,15
18197,18197,66,Nancy Reagan spouse Ronald Reagan. Nancy Reagan place of birth Manhattan. Ronald Reagan domain actor.,inform,Nancy Reagan is an actor from Manhattan who was married to Ronald Reagan.,2,3,(X (X (X))),Ronald Reagan Nancy Reagan Manhattan,inform,0.3444864154,0.02019426534,49.51900864,8.493098745,0.90530753,match_scores,1,13
18201,18201,67,Nancy Reagan spouse Ronald Reagan. Nancy Reagan occupation actor. Ronald Reagan domain actor.,inform,Nancy Reagan is an actor and the spouse of Ronald Reagan.,2,3,(X (X (X))),Ronald Reagan Nancy Reagan actor,inform,0.3037848175,0.0191143457,52.31672668,10.12799301,0.9410287,match_scores,1,11
18214,18214,68,Nancy Reagan spouse Ronald Reagan. Nancy Reagan sex or gender female. Ronald Reagan domain actor.,inform," Nancy Reagan is a female actor, married to Ronald Reagan.",2,3,(X (X (X))),Ronald Reagan Nancy Reagan female,inform,0.249800846,0.01266213605,78.97561646,10.12799301,0.9124235,match_scores,1,10
18218,18218,69,Nancy Reagan spouse Ronald Reagan. Nancy Reagan date of birth 1921. Ronald Reagan domain actor.,inform,Nancy Reagan was born in 1921 and was married to Ronald Reagan.,2,3,(X (X (X))),Ronald Reagan Nancy Reagan 1921,inform,0.3132801354,0.02797216826,35.74982071,9.23843021,0.9158733,match_scores,1,12
56736,56736,70,Taika Waititi place of birth Wellington. Antony Starr place of birth Wellington. Taika Waititi domain actor.,suggest," Are you familiar with actors from Wellington, such as Taika Waititi and Antony Starr?",2,3,(X (X (X))),Taika Waititi Wellington Antony Starr,suggest,0.9194988,0.01626767797,61.47158813,7.314031827,0.8956601,match_scores,1,14
18242,18242,71,Taika Waititi occupation screenwriter. Ryan Gosling occupation screenwriter. Taika Waititi domain actor.,inform," Taika Waititi is an actor and screenwriter, while Ryan Gosling is a screenwriter.",2,3,(X (X (X))),Taika Waititi screenwriter Ryan Gosling,inform,0.3566266,0.06768650606,14.77399349,7.859438682,0.86975825,match_scores,1,13
62409,62409,72,Tom Hanks rating top rated. Cloud Atlas cast member Tom Hanks. Tom Hanks domain actor.,verify_attribute,You said that Tom Hanks was top rated in Cloud Atlas. Do you usually rate Tom Hanks as a top actor?,2,3,(X (X (X))),Tom Hanks top rated Tom Hanks Cloud Atlas,verify_attribute,0.9754267931,0.02530604459,39.51625061,6.586656968,0.84881085,match_scores,1,21
18263,18263,73,Taika Waititi spouse Rita Ora. Rita Ora occupation singer. Taika Waititi domain actor.,inform,Taika Waititi is an actor married to singer Rita Ora.,2,3,(X (X (X))),Taika Waititi Rita Ora singer,inform,0.3135251403,0.02790653508,35.83390045,11.20846675,0.9022677,match_scores_PPL,1,10
18270,18270,74,Taika Waititi spouse Rita Ora. Rita Ora place of birth Prishtina. Taika Waititi domain actor.,inform," Taika Waititi is an actor married to Rita Ora, who was born in Prishtina.",2,3,(X (X (X))),Taika Waititi Rita Ora Prishtina,inform,0.2948145568,0.02686600541,37.2217598,7.314031827,0.86992145,match_scores,1,14
49479,49479,75,Rita Ora spouse Taika Waititi. Rita Ora place of birth Prishtina. Taika Waititi domain actor.,recommend,Do you know about Rita Ora and Taika Waititi? Rita Ora is from Prishtina and Taika Waititi is an actor. They are married.,2,3,(X (X (X))),Taika Waititi Rita Ora Prishtina,recommend,0.83558774,0.05536260857,18.0627327,4.32030487,0.90662616,match_scores,1,23
18293,18293,76,Taika Waititi spouse Rita Ora. Rita Ora date of birth 1990. Taika Waititi domain actor.,inform," Taika Waititi is an actor who is married to Rita Ora, born in 1990.",2,3,(X (X (X))),Taika Waititi Rita Ora 1990,inform,0.4494795799,0.03417958481,29.25723076,7.314031827,0.83883196,match_scores_PPL,1,14
56809,56809,77,Rita Ora spouse Taika Waititi. Rita Ora place of birth Prishtina. Taika Waititi domain actor.,suggest," Are you familiar with the work of actors from Prishtina, like Rita Ora who is married to Taika Waititi?",2,3,(X (X (X))),Taika Waititi Rita Ora Prishtina,suggest,0.9164941,0.0176743609,56.57913208,5.431360808,0.85457265,match_scores_PPL,1,19
18309,18309,78,Rita Ora spouse Taika Waititi. Rita Ora occupation singer. Taika Waititi domain actor.,inform,Rita Ora is a singer married to actor Taika Waititi.,2,3,(X (X (X))),Taika Waititi Rita Ora singer,inform,0.4227268994,0.02064107131,48.44709778,11.20846675,0.90220255,match_scores,1,10
18327,18327,79,Rita Ora spouse Taika Waititi. Rita Ora place of birth Prishtina. Taika Waititi domain actor.,inform,Rita Ora is an actor from Prishtina who is married to Taika Waititi.,2,3,(X (X (X))),Taika Waititi Rita Ora Prishtina,inform,0.2568305433,0.02223129831,44.98162842,8.493098745,0.8876348,match_scores_PPL,1,13
