mr,mr_new,pseudo_mr,text,da,entity,num_hops,num_triples
"recommend(name[Cosmic Encounter], instance of[Board game], genre[science fiction])",Cosmic Encounter instance of board game. Cosmic Encounter genre science fiction. Cosmic Encounter domain board game.,Cosmic Encounter Board Game Science Fiction," Are you familiar with Cosmic Encounter, a science fiction board game?",recommend,boardgames,1,3
"recommend(name[Carcassonne], publisher[Hans im Glück], genre[German-style Board game])",Carcassonne publisher Hans im Glück. Carcassonne genre German-style board game. Carcassonne domain board game.,Carcassonne Hans Im Glück German-Style Board Game," Have you ever played Carcassonne, a German-style board game by Hans im Glück?",recommend,boardgames,1,3
"recommend(name[Sherlock Holmes Consulting Detective], genre[deduction game])",Sherlock Holmes Consulting Detective genre deduction game. Sherlock Holmes Consulting Detective domain board game.,Sherlock Holmes Consulting Detective Deduction Game," Have you heard of Sherlock Holmes Consulting Detective, the deduction board game?",recommend,boardgames,1,2
"inform(name[A Game of Thrones], genre[fantasy], maximum number of players[5], average rating[good], minimum number of players[3], complexity rating[advanced])",A Game of Thrones genre fantasy. A Game of Thrones maximum number of players 5. A Game of Thrones average rating good. A Game of Thrones minimum number of players 3. A Game of Thrones complexity rating advanced. A Game of Thrones domain board game.,A Game Of Thrones Fantasy 5 Good 3 Advanced," A Game of Thrones is an advanced fantasy board game for 3 to 5 players, with a good rating.",inform,boardgames,1,6
"inform(name[Sherlock Holmes Consulting Detective], genre[deduction game], complexity rating[complex], game mechanics[deductive reasoning])",Sherlock Holmes Consulting Detective genre deduction game. Sherlock Holmes Consulting Detective complexity rating complex. Sherlock Holmes Consulting Detective maximum playing time 120. Sherlock Holmes Consulting Detective game mechanics deductive reasoning. Sherlock Holmes Consulting Detective domain board game.,Sherlock Holmes Consulting Detective Deduction Game Complex 120 Deductive Reasoning,Sherlock Holmes Consulting Detective is a complex deduction board game with a maximum playing time of 120 minutes and game mechanics of deductive reasoning.,inform,boardgames,1,5
"inform(name[Lord of the Rings], genre[fantasy], minimum number of players[2], maximum number of players[5], average rating[average])",Lord of the Rings genre fantasy. Lord of the Rings minimum number of players 2. Lord of the Rings maximum number of players 5. Lord of the Rings average rating average. Lord of the Rings domain board game.,Lord Of The Rings Fantasy 2 5 Average," Lord of the Rings is a fantasy board game for 2-5 players, with an average rating.",inform,boardgames,1,5
"recommend(name[Barbarossa], publisher[Franckh-Kosmos], instance of[Board game])",Barbarossa publisher Franckh-Kosmos. Barbarossa instance of board game. Barbarossa domain board game.,Barbarossa Franckh-Kosmos Board Game," Have you ever played Barbarossa, the Franckh-Kosmos board game?",recommend,boardgames,1,3
"verify_attribute(name[War of 1812], average rating[average], instance of[Board game], publisher[Columbia Games])",War of 1812 average rating average. War of 1812 instance of board game. War of 1812 publisher Columbia Games. War of 1812 domain board game.,War Of 1812 Average Board Game Columbia Games,You said War of 1812 was just okay. Do you think all board games from Columbia Games are mediocre?,verify_attribute,boardgames,1,4
"verify_attribute(name[Mystery Motive for Murder], average rating[average], genre[mystery fiction], publisher[Mayfair Games])",Mystery Motive for Murder average rating average. Mystery Motive for Murder genre mystery fiction. Mystery Motive for Murder publisher Mayfair Games. Mystery Motive for Murder domain board game.,Mystery Motive For Murder Average Mystery Fiction Mayfair Games,You found Mystery Motive for Murder to be just okay. Do you think all mystery fiction board games from Mayfair Games are mediocre?,verify_attribute,boardgames,1,4
"verify_attribute(name[Mystery Motive for Murder], average rating[average], publisher[Mayfair Games])",Mystery Motive for Murder average rating average. Mystery Motive for Murder publisher Mayfair Games. Mystery Motive for Murder domain board game.,Mystery Motive For Murder Average Mayfair Games,You found Mystery Motive for Murder to be just okay. Do you think all board games by Mayfair Games are mediocre?,verify_attribute,boardgames,1,3
"give_opinion(name[Enchanted Forest], average rating[average], publisher[Ravensburger], minimum number of players[2])",Enchanted Forest average rating average. Enchanted Forest publisher Ravensburger. Enchanted Forest minimum number of players 2. Enchanted Forest domain board game.,Enchanted Forest Average Ravensburger 2," Enchanted Forest is an average board game, but I like that it's published by Ravensburger and the minimum number of players is only 2.",give_opinion,boardgames,1,4
"suggest(name[Punaisten ja valkoisten taistelu Suomessa 1918], country of origin[Finland])",Punaisten ja valkoisten taistelu Suomessa 1918 country of origin Finland. Punaisten ja valkoisten taistelu Suomessa 1918 domain board game.,Punaisten Ja Valkoisten Taistelu Suomessa 1918 Finland," Have you ever played a board game from Finland, such as Punaisten ja valkoisten taistelu Suomessa 1918?",suggest,boardgames,1,2
confirm(name[Cosmic Encounter]),Cosmic Encounter domain board game.,Cosmic Encounter,Are you talking about the board game Cosmic Encounter?,confirm,boardgames,1,1
"verify_attribute(name[Chicago], average rating[poor], publisher[Playmix])",Chicago average rating poor. Chicago publisher Playmix. Chicago domain board game.,Chicago Poor Playmix,You didn't like Chicago. Do you think most board games from Playmix are boring?,verify_attribute,boardgames,1,3
"inform(name[Mangala], genre[abstract strategy game], instance of[Board game], complexity rating[simple], maximum number of players[2], based on[mancala], average rating[average])",Mangala genre abstract strategy game. Mangala instance of board game. Mangala complexity rating simple. Mangala maximum number of players 2. Mangala based on mancala. Mangala average rating average. Mangala domain board game.,Mangala Abstract Strategy Game Board Game Simple 2 Mancala Average," Mangala is a simple abstract strategy board game for up to two players, based on mancala, with an average rating.",inform,boardgames,1,7
"suggest(name[Dune], genre[science fiction], instance of[Board game])",Dune genre science fiction. Dune instance of board game. Dune domain board game.,Dune Science Fiction Board Game," Have you ever played a board game in the science fiction genre, like Dune?",suggest,boardgames,1,3
"inform(name[Yomi], genre[card game], average rating[average], minimum number of players[2], instance of[Board game], maximum number of players[2], complexity rating[complex])",Yomi genre card game. Yomi average rating average. Yomi minimum number of players 2. Yomi minimum playing time 30. Yomi instance of board game. Yomi maximum number of players 2. Yomi complexity rating complex. Yomi domain board game.,Yomi Card Game Average 2 30 Board Game 2 Complex,Yomi is a complex card game that can be played with two players in a minimum of 30 minutes. It has an average rating.,inform,boardgames,1,8
"inform(name[Risk], genre[board wargame], alternate names[Risk!], publisher[Miro Company], maximum number of players[6], minimum number of players[2])",Risk genre board wargame. Risk alternate names Risk!. Risk publisher Miro Company. Risk maximum number of players 6. Risk minimum number of players 2. Risk domain board game.,Risk Board Wargame Risk! Miro Company 6 2," Risk!, also known as Risk, is a board wargame published by Miro Company. It can be played with 2 to 6 players.",inform,boardgames,1,6
"inform(name[Chicago], genre[strategy game], complexity rating[complex], publication year[1986], publisher[Playmix])",Chicago genre strategy game. Chicago complexity rating complex. Chicago publication year 1986. Chicago minimum playing time 90. Chicago publisher Playmix. Chicago domain board game.,Chicago Strategy Game Complex 1986 90 Playmix,Chicago is a complex strategy game published by Playmix in 1986. It has a minimum playing time of 90 minutes.,inform,boardgames,1,6
"verify_attribute(name[Monopoly], average rating[poor], game mechanics[resource management])",Monopoly average rating poor. Monopoly game mechanics resource management. Monopoly domain board game.,Monopoly Poor Resource Management,You said Monopoly was boring. Is this usually how you feel about resource management board games?,verify_attribute,boardgames,1,3
"suggest(name[Monopoly], game mechanics[resource management])",Monopoly game mechanics resource management. Monopoly domain board game.,Monopoly Resource Management," Have you ever played a board game with a resource management mechanic, like Monopoly?",suggest,boardgames,1,2
"recommend(name[Scotland Yard], genre[deduction game], alternate names[Fanton])",Scotland Yard genre deduction game. Scotland Yard alternate names Fanton. Scotland Yard domain board game.,Scotland Yard Deduction Game Fanton," Have you ever heard of Scotland Yard, a deduction game that goes by the alternate name Fanton? It's a board game.",recommend,boardgames,1,3
"verify_attribute(name[Axis and Allies], average rating[average], genre[board wargame])",Axis and Allies average rating average. Axis and Allies genre board wargame. Axis and Allies domain board game.,Axis And Allies Average Board Wargame,You said Axis and Allies was just average. Is this the same for all board wargames?,verify_attribute,boardgames,1,3
recommend(name[Crossings]),Crossings domain board game.,Crossings," Have you played Crossings, the board game?",recommend,boardgames,1,1
"recommend(name[Scotland Yard], genre[deduction game], game mechanics[cooperative gameplay])",Scotland Yard genre deduction game. Scotland Yard game mechanics cooperative gameplay. Scotland Yard domain board game.,Scotland Yard Deduction Game Cooperative Gameplay," Have you heard of Scotland Yard, a deduction board game with cooperative gameplay mechanics?",recommend,boardgames,1,3
"request(specifier[tedious], minimum number of players[3])",board game specifier tedious. board game minimum number of players 3. board game domain board game.,Tedious 3,What tedious board game can you play with at least three players?,request,boardgames,1,2
"inform(name[HeroQuest], genre[fantasy], maximum number of players[5], publisher[Games Workshop], average rating[good])",HeroQuest genre fantasy. HeroQuest maximum number of players 5. HeroQuest publisher Games Workshop. HeroQuest average rating good. HeroQuest minimum playing time 90. HeroQuest domain board game.,Heroquest Fantasy 5 Games Workshop Good 90,HeroQuest is a fantasy board game published by Games Workshop with a good rating. It can take up to 5 players in a minimum of 90 minutes.,inform,boardgames,1,6
"inform(name[Betrayal at House on the Hill], genre[cooperative Board game], instance of[Board game], average rating[average], maximum number of players[6], complexity rating[complex])",Betrayal at House on the Hill genre cooperative board game. Betrayal at House on the Hill instance of board game. Betrayal at House on the Hill average rating average. Betrayal at House on the Hill maximum number of players 6. Betrayal at House on the Hill complexity rating complex. Betrayal at House on the Hill minimum playing time 60. Betrayal at House on the Hill domain board game.,Betrayal At House On The Hill Cooperative Board Game Board Game Average 6 Complex 60,Betrayal at House on the Hill is a complex cooperative board game for up to 6 players with an average rating. It has a minimum playing time of 60 minutes.,inform,boardgames,1,7
"confirm(name[Sherlock Holmes Consulting Detective], publication year[1981])",Sherlock Holmes Consulting Detective publication year 1981. Sherlock Holmes Consulting Detective domain board game.,Sherlock Holmes Consulting Detective 1981," Are you talking about the board game Sherlock Holmes Consulting Detective, published in 1981?",confirm,boardgames,1,2
"recommend(name[Enchanted Forest], genre[fantasy], publisher[Ravensburger])",Enchanted Forest genre fantasy. Enchanted Forest publisher Ravensburger. Enchanted Forest domain board game.,Enchanted Forest Fantasy Ravensburger," Have you heard of Enchanted Forest, a fantasy board game from Ravensburger?",recommend,boardgames,1,3
"give_opinion(name[Battle Masters], average rating[average], based on[Warhammer], complexity rating[moderate])",Battle Masters average rating average. Battle Masters based on Warhammer. Battle Masters complexity rating moderate. Battle Masters domain board game.,Battle Masters Average Warhammer Moderate,Battle Masters is an average board game. Its moderate complexity level and theme based on Warhammer make it an enjoyable experience for gamers.,give_opinion,boardgames,1,4
"request(specifier[frustrating], genre[deduction game])",board game specifier frustrating. board game genre deduction game. board game domain board game.,Frustrating Deduction Game,What's the most frustrating deduction game board game you've ever played?,request,boardgames,1,2
"request(specifier[frustrating], game mechanics[resource management])",board game specifier frustrating. board game game mechanics resource management. board game domain board game.,Frustrating Resource Management,What board game with a resource management game mechanic is the most frustrating?,request,boardgames,1,2
"suggest(name[Betrayal at House on the Hill], developer[Bruce Glassco], publisher[Asmodee])",Betrayal at House on the Hill developer Bruce Glassco. Betrayal at House on the Hill publisher Asmodee. Betrayal at House on the Hill domain board game.,Betrayal At House On The Hill Bruce Glassco Asmodee," Have you ever played a board game from Asmodee created by Bruce Glassco, like Betrayal at House on the Hill?",suggest,boardgames,1,3
"request(specifier[confusing], genre[cooperative Board game])",board game specifier confusing. board game genre cooperative board game. board game domain board game.,Confusing Cooperative Board Game,What's the most confusing cooperative board game you know of in the board game domain?,request,boardgames,1,2
"request(specifier[uninspiring], maximum number of players[8])",board game specifier uninspiring. board game maximum number of players 8. board game domain board game.,Uninspiring 8,What board game do you think is the most uninspiring for a game with up to 8 players?,request,boardgames,1,2
"give_opinion(name[Sherlock Holmes Consulting Detective], average rating[excellent], publisher[Space Cowboys], instance of[Board game])",Sherlock Holmes Consulting Detective average rating excellent. Sherlock Holmes Consulting Detective publisher Space Cowboys. Sherlock Holmes Consulting Detective instance of board game. Sherlock Holmes Consulting Detective domain board game.,Sherlock Holmes Consulting Detective Excellent Space Cowboys Board Game,Sherlock Holmes Consulting Detective is an excellent board game and I give it my highest recommendation. The publisher Space Cowboys did a great job of bringing this game to life.,give_opinion,boardgames,1,4
"inform(name[Thurn and Taxis], genre[historical Board game], maximum number of players[4], country of origin[Germany], complexity rating[complex], instance of[Board game], average rating[good])",Thurn and Taxis genre historical board game. Thurn and Taxis maximum number of players 4. Thurn and Taxis country of origin Germany. Thurn and Taxis complexity rating complex. Thurn and Taxis instance of board game. Thurn and Taxis minimum playing time 60. Thurn and Taxis average rating good. Thurn and Taxis domain board game.,Thurn And Taxis Historical Board Game 4 Germany Complex Board Game 60 Good,Thurn and Taxis is a complex German historical board game for up to 4 players with a minimum time of 60 minutes and a good rating.,inform,boardgames,1,8
"verify_attribute(name[Lord of the Rings], average rating[average], instance of[Board game])",Lord of the Rings average rating average. Lord of the Rings instance of board game. Lord of the Rings domain board game.,Lord Of The Rings Average Board Game,You said Lord of the Rings was an average game. Do you think most board games are mediocre?,verify_attribute,boardgames,1,3
"inform(name[Mystery Motive for Murder], genre[mystery fiction], publication year[2015], maximum number of players[5])",Mystery Motive for Murder genre mystery fiction. Mystery Motive for Murder publication year 2015. Mystery Motive for Murder maximum number of players 5. Mystery Motive for Murder domain board game.,Mystery Motive For Murder Mystery Fiction 2015 5," Mystery Motive for Murder is a mystery fiction board game for up to 5 players, published in 2015.",inform,boardgames,1,4
"inform(name[Monopoly], genre[roll-and-move], country of origin[United States of America], publisher[Hasbro], game mechanics[resource management], minimum number of players[2])",Monopoly genre roll-and-move. Monopoly country of origin United States of America. Monopoly publisher Hasbro. Monopoly game mechanics resource management. Monopoly minimum number of players 2. Monopoly domain board game.,Monopoly Roll-And-Move United States Of America Hasbro Resource Management 2," Monopoly is a roll-and-move board game from the United States of America, published by Hasbro and featuring resource management mechanics. It requires at least 2 players.",inform,boardgames,1,6
"confirm(name[Thurn and Taxis], developer[Andreas Seyfarth], publication year[2006])",Thurn and Taxis developer Andreas Seyfarth. Thurn and Taxis publication year 2006. Thurn and Taxis domain board game.,Thurn And Taxis Andreas Seyfarth 2006," Are you talking about the Andreas Seyfarth board game, Thurn and Taxis, published in 2006?",confirm,boardgames,1,3
"recommend(name[Monopoly], game mechanics[resource management], genre[roll-and-move])",Monopoly game mechanics resource management. Monopoly genre roll-and-move. Monopoly domain board game.,Monopoly Resource Management Roll-And-Move," Have you heard of Monopoly, the roll-and-move board game with resource management game mechanics?",recommend,boardgames,1,3
"recommend(name[Yomi], alternate names[Yomi: Fighting Card Game], instance of[Board game])",Yomi alternate names Yomi: Fighting Card Game. Yomi instance of board game. Yomi domain board game.,Yomi Yomi: Fighting Card Game Board Game," Have you heard of Yomi, or its alternate name Yomi: Fighting Card Game? It is a board game.",recommend,boardgames,1,3
"inform(name[Punaisten ja valkoisten taistelu Suomessa 1918], genre[wargame], publication year[1918], minimum number of players[2], country of origin[Finland], instance of[Board game], complexity rating[simple])",Punaisten ja valkoisten taistelu Suomessa 1918 genre wargame. Punaisten ja valkoisten taistelu Suomessa 1918 publication year 1918. Punaisten ja valkoisten taistelu Suomessa 1918 minimum number of players 2. Punaisten ja valkoisten taistelu Suomessa 1918 country of origin Finland. Punaisten ja valkoisten taistelu Suomessa 1918 instance of board game. Punaisten ja valkoisten taistelu Suomessa 1918 complexity rating simple. Punaisten ja valkoisten taistelu Suomessa 1918 domain board game.,Punaisten Ja Valkoisten Taistelu Suomessa 1918 Wargame 1918 2 Finland Board Game Simple,Punaisten ja valkoisten taistelu Suomessa 1918 is a simple wargame board game from Finland with a minimum of 2 players. It was published in 1918.,inform,boardgames,1,7
"recommend(name[Star Realms], publisher[White Wizard Games])",Star Realms publisher White Wizard Games. Star Realms domain board game.,Star Realms White Wizard Games," Have you played Star Realms, the board game from White Wizard Games?",recommend,boardgames,1,2
"inform(name[Spirit Island], genre[cooperative Board game], complexity rating[advanced], maximum number of players[4])",Spirit Island genre cooperative board game. Spirit Island complexity rating advanced. Spirit Island maximum number of players 4. Spirit Island domain board game.,Spirit Island Cooperative Board Game Advanced 4,Spirit Island is an advanced cooperative board game for up to 4 players.,inform,boardgames,1,4
"suggest(name[Descent Journeys in the Dark], publisher[Fantasy Flight Games])",Descent Journeys in the Dark publisher Fantasy Flight Games. Descent Journeys in the Dark domain board game.,Descent Journeys In The Dark Fantasy Flight Games," Have you ever played a board game published by Fantasy Flight Games, like Descent Journeys in the Dark?",suggest,boardgames,1,2
"suggest(name[Barbarossa], maximum number of players[6])",Barbarossa maximum number of players 6. Barbarossa domain board game.,Barbarossa 6," Have you ever played a board game for up to 6 players, like Barbarossa?",suggest,boardgames,1,2
"verify_attribute(name[Barbarossa], average rating[average], publisher[Franckh-Kosmos], instance of[Board game])",Barbarossa average rating average. Barbarossa publisher Franckh-Kosmos. Barbarossa instance of board game. Barbarossa domain board game.,Barbarossa Average Franckh-Kosmos Board Game,You said Barbarossa was just okay. Do you usually find Franckh-Kosmos board games to be mediocre?,verify_attribute,boardgames,1,4
"give_opinion(name[Axis and Allies], average rating[average], genre[board wargame])",Axis and Allies average rating average. Axis and Allies genre board wargame. Axis and Allies domain board game.,Axis And Allies Average Board Wargame,Axis and Allies is an average board game but I think it's worth playing because of its board wargame genre.,give_opinion,boardgames,1,3
"verify_attribute(name[Betrayal at House on the Hill], average rating[average], developer[Bruce Glassco], publisher[Asmodee])",Betrayal at House on the Hill average rating average. Betrayal at House on the Hill developer Bruce Glassco. Betrayal at House on the Hill publisher Asmodee. Betrayal at House on the Hill domain board game.,Betrayal At House On The Hill Average Bruce Glassco Asmodee,You said Betrayal at House on the Hill was just okay. Do you think all board games by Bruce Glassco and Asmodee are mediocre?,verify_attribute,boardgames,1,4
"suggest(name[Battle Masters], instance of[Board game])",Battle Masters instance of board game. Battle Masters domain board game.,Battle Masters Board Game," Have you ever played a board game, like Battle Masters?",suggest,boardgames,1,2
"confirm(name[Betrayal at House on the Hill], publisher[Hasbro], instance of[Board game])",Betrayal at House on the Hill publisher Hasbro. Betrayal at House on the Hill instance of board game. Betrayal at House on the Hill domain board game.,Betrayal At House On The Hill Hasbro Board Game,Are you talking about the Hasbro board game Betrayal at House on the Hill?,confirm,boardgames,1,3
"inform(name[Descent Journeys in the Dark], genre[fantasy], minimum number of players[2], instance of[Board game], complexity rating[advanced], publisher[Fantasy Flight Games], publication year[2005])",Descent Journeys in the Dark genre fantasy. Descent Journeys in the Dark minimum number of players 2. Descent Journeys in the Dark instance of board game. Descent Journeys in the Dark complexity rating advanced. Descent Journeys in the Dark publisher Fantasy Flight Games. Descent Journeys in the Dark publication year 2005. Descent Journeys in the Dark domain board game.,Descent Journeys In The Dark Fantasy 2 Board Game Advanced Fantasy Flight Games 2005,Descent Journeys in the Dark is an advanced fantasy board game published by Fantasy Flight Games in 2005 for a minimum of 2 players.,inform,boardgames,1,7
"request(specifier[stimulating], genre[roll-and-move])",board game specifier stimulating. board game genre roll-and-move. board game domain board game.,Stimulating Roll-And-Move,Are there any stimulating roll-and-move games in the board game domain?,request,boardgames,1,2
"recommend(name[Afrikan tähti], genre[roll-and-move], instance of[Board game])",Afrikan tähti genre roll-and-move. Afrikan tähti instance of board game. Afrikan tähti domain board game.,Afrikan Tähti Roll-And-Move Board Game," Have you heard of Afrikan tähti, a roll-and-move board game?",recommend,boardgames,1,3
"suggest(name[A Game of Thrones], maximum number of players[5], instance of[Board game])",A Game of Thrones maximum number of players 5. A Game of Thrones instance of board game. A Game of Thrones domain board game.,A Game Of Thrones 5 Board Game," Have you ever played a board game for five players, like A Game of Thrones?",suggest,boardgames,1,3
"give_opinion(name[Dune], average rating[excellent], genre[science fiction], maximum number of players[6])",Dune average rating excellent. Dune genre science fiction. Dune maximum number of players 6. Dune domain board game.,Dune Excellent Science Fiction 6," I think Dune is an excellent board game. The science fiction genre makes it interesting, and the maximum number of players of 6 makes it great for a group.",give_opinion,boardgames,1,4
"inform(name[Yomi], genre[card game], complexity rating[complex], minimum number of players[2], instance of[Board game], alternate names[Yomi: Fighting Card Game])",Yomi genre card game. Yomi complexity rating complex. Yomi minimum number of players 2. Yomi instance of board game. Yomi alternate names Yomi: Fighting Card Game. Yomi domain board game.,Yomi Card Game Complex 2 Board Game Yomi: Fighting Card Game," Yomi: Fighting Card Game, also known as Yomi, is a complex board game for at least two players.",inform,boardgames,1,6
"inform(name[Yomi], genre[card game], complexity rating[complex], maximum number of players[2], instance of[Board game], alternate names[Yomi: Fighting Card Game])",Yomi genre card game. Yomi complexity rating complex. Yomi maximum number of players 2. Yomi instance of board game. Yomi alternate names Yomi: Fighting Card Game. Yomi domain board game.,Yomi Card Game Complex 2 Board Game Yomi: Fighting Card Game," Yomi: Fighting Card Game, also known as Yomi, is a complex board game for up to 2 players.",inform,boardgames,1,6
"give_opinion(name[Enchanted Forest], average rating[average], maximum number of players[6])",Enchanted Forest average rating average. Enchanted Forest maximum number of players 6. Enchanted Forest minimum playing time 30. Enchanted Forest domain board game.,Enchanted Forest Average 6 30," Enchanted Forest is an average board game, but I appreciate the maximum of 6 players and the minimum playing time of 30 minutes.",give_opinion,boardgames,1,4
"give_opinion(name[Monopoly], average rating[poor], instance of[Board game], minimum number of players[2])",Monopoly average rating poor. Monopoly instance of board game. Monopoly minimum number of players 2. Monopoly domain board game.,Monopoly Poor Board Game 2," Monopoly is a classic board game, but it's not very enjoyable. The poor rating and minimum number of players of 2 make it a bit too limited for me.",give_opinion,boardgames,1,4
"request(specifier[tedious], genre[fantasy])",board game specifier tedious. board game genre fantasy. board game domain board game.,Tedious Fantasy,What tedious fantasy board game have you played?,request,boardgames,1,2
"recommend(name[Mangala], based on[mancala], instance of[Board game])",Mangala based on mancala. Mangala instance of board game. Mangala domain board game.,Mangala Mancala Board Game," Have you heard of Mangala, the board game based on mancala?",recommend,boardgames,1,3
"recommend(name[Monopoly], game mechanics[resource management], based on[The Landlords Game])",Monopoly game mechanics resource management. Monopoly based on The Landlords Game. Monopoly domain board game.,Monopoly Resource Management The Landlord'S Game," Have you heard of Monopoly, the board game with resource management game mechanics based on The Landlords Game?",recommend,boardgames,1,3
"request(specifier[uninspiring], genre[German-style Board game])",board game specifier uninspiring. board game genre German-style board game. board game domain board game.,Uninspiring German-Style Board Game,Have you ever played an uninspiring German-style board game?,request,boardgames,1,2
"recommend(name[Carcassonne], genre[German-style Board game], instance of[Board game])",Carcassonne genre German-style board game. Carcassonne instance of board game. Carcassonne domain board game.,Carcassonne German-Style Board Game Board Game," Have you ever played Carcassonne, a German-style board game?",recommend,boardgames,1,3
"inform(name[Stratego], genre[board wargame], average rating[average], minimum number of players[2], complexity rating[moderate], instance of[Board game], maximum number of players[2])",Stratego genre board wargame. Stratego average rating average. Stratego minimum playing time 45. Stratego minimum number of players 2. Stratego complexity rating moderate. Stratego instance of board game. Stratego maximum number of players 2. Stratego domain board game.,Stratego Board Wargame Average 45 2 Moderate Board Game 2,Stratego is a moderate board wargame with an average rating. It can be played by 2 players in a minimum of 45 minutes.,inform,boardgames,1,8
"request(specifier[stimulating], genre[German-style Board game])",board game specifier stimulating. board game genre German-style board game. board game domain board game.,Stimulating German-Style Board Game,Have you ever played a stimulating German-style board game?,request,boardgames,1,2
"request(specifier[tedious], genre[strategy game])",board game specifier tedious. board game genre strategy game. board game domain board game.,Tedious Strategy Game,What's the most tedious strategy game you know of in the board game domain?,request,boardgames,1,2
