index,mr_new,da,text,num_hops,num_triples,pseudo_mr,pred,probs,LM_prob,PPL,pseudo_bleu,scores,criteria,da_acc,length
32,"The Girlfriend Experience review score average. The Girlfriend Experience creator Anja Marquardt, Amy Seimetz. The Girlfriend Experience domain tv.",give_opinion,"I think The Girlfriend Experience is an average show thanks to its creators, Anja Marquardt and Amy Seimetz.",1,3,"The Girlfriend Experience Average 'Anja Marquardt', 'Amy Seimetz'",give_opinion,0.9851643,0.01994959482,50.12633133,7.658412276,0.7919617,match_scores,1,18
33,Wolf Hall review score average. Wolf Hall awards received Golden Globe Award for Best Miniseries or Television Film. Wolf Hall domain tv.,recommend,Have you heard of Wolf Hall? It has an average review score and won the Golden Globe Award for Best Miniseries or Television Film.,1,3,Wolf Hall Average 'Golden Globe Award For Best Miniseries Or Television Film',recommend,0.9116937518,0.01816921509,55.03815079,5.200788807,0.8637807,match_scores,1,24
34,tv show specifier boring. tv show creator Mark Cendrowski. tv show domain tv.,request,Did you find any Mark Cendrowski show boring?,1,3,Boring 'Mark Cendrowski',request,0.9571115375,0.001083773567,922.7019653,0,0.84534246,match_scores,1,8
35,"tv show specifier funniest. tv show creator Edward Bazalgette, Nick Murphy. tv show domain tv.",request,What's the funniest show you've seen from Edward Bazalgette and Nick Murphy?,1,3,"Funniest 'Edward Bazalgette', 'Nick Murphy'",request,0.9558398128,0.01069245368,93.52390289,0,0.8320809,match_scores_PPL,1,12
36,"Freud review score average. Freud character Amalia Freud, Crown Prince of Austria. Freud domain tv.",give_opinion,"Freud is an average show, but the characters of Amalia Freud and the Crown Prince of Austria are engaging.",1,3,"Freud Average 'Amalia Freud', Crown Prince Of Austria'",give_opinion,0.97341,0.005530427266,180.8178558,4.319402268,0.8949517,match_scores,1,19
37,Lonesome Dove genre television western. Lonesome Dove screenwriter William D. Wittliff. Lonesome Dove domain tv.,inform,Lonesome Dove is a television western written by William D. Wittliff.,1,4,Lonesome Dove 'Television Western' 'William D. Wittliff',inform,0.9706009626,0.006683968806,149.6117096,8.737167852,0.7923812,match_scores_PPL,1,11
38,The Virgin Queen review score average. The Virgin Queen creator Coky Giedroyc. The Virgin Queen domain tv.,recommend,"Have you heard of The Virgin Queen, the TV show created by Coky Giedroyc? It has an average review score.",1,3,The Virgin Queen Average 'Coky Giedroyc',recommend,0.9049292207,0.01332853363,75.02700806,6.129574979,0.75503725,match_scores_PPL,1,20
39,"Galactica 1980 review score average. Galactica 1980 genre science fiction television series. Galactica 1980 cast member Paul Koslo, Allan Miller. Galactica 1980 domain tv.",give_opinion,Galactica 1980 is an average science fiction television series with good casting like Paul Koslo and Allan Miller.,1,4,"Galactica 1980 Average 'Science Fiction Television Series' 'Paul Koslo', 'Allan Miller'",give_opinion,0.97059625,0.004989827106,200.4077454,4.048892532,0.8063523,match_scores,1,18
40,"Downton Abbey review score average. Downton Abbey creator Andy Goddard, Lu Yue. Downton Abbey domain tv.",recommend,"Have you watched Downton Abbey, created by Andy Goddard and Lu Yue? It has an average review score.",1,3,"Downton Abbey Average 'Andy Goddard', 'Lu Yue'",recommend,0.9087994695,0.007574987884,132.0134125,4.019656739,0.7907248,match_scores_PPL,1,18
41,"Houdini genre film based on books. Houdini character Wilhelm II, Arthur Conan Doyle. Houdini creator Uli Edel. Houdini domain tv.",inform,"Houdini is a film based on books featuring Wilhelm II and Arthur Conan Doyle, created by Uli Edel.",1,4,"Houdini 'Film Based On Books' 'Wilhelm Ii', 'Arthur Conan Doyle' 'Uli Edel'",inform,0.9236913323,0.01222252508,81.81615448,2.519759344,0.7643736,match_scores,1,18
42,"tv show specifier realistic. tv show cast member Aneurin Barnard, Andreas Pietschmann. tv show domain tv.",request,Is there a realistic TV show starring Aneurin Barnard and Andreas Pietschmann?,1,3,"Realistic 'Aneurin Barnard', 'Andreas Pietschmann'",request,0.8860733509,0.01109094777,90.16362,0,0.77049804,match_scores,1,12
43,Peaky Blinders review score good. Peaky Blinders genre drama television series. Peaky Blinders awards received Royal Television Society Awards. Peaky Blinders domain tv.,give_opinion,Peaky Blinders is a great drama television series that deservedly won the Royal Television Society Awards for its good review score.,1,4,Peaky Blinders Good 'Drama Television Series' 'Royal Television Society Awards',give_opinion,0.9781697,0.01224234447,81.68370056,4.885326644,0.80298644,match_scores,1,21
44,tv show specifier dramatic. tv show genre romance television series. tv show domain tv.,request,Can you think of a dramatic romance television series?,1,3,Dramatic 'Romance Television Series',request,0.9143833518,0.005526560098,180.9443817,0,0.80775195,match_scores_PPL,1,9
45,"Dae Jang Geum genre historical fiction. Dae Jang Geum review score poor. Dae Jang Geum awards received None. Dae Jang Geum creator Lee Byung-hoon. Dae Jang Geum cast member Yang Mi-kyung, Im Ho. Dae Jang Geum character Jungjong of Joseon, Jang-geum. Dae Jang Geum screenwriter Kim Young-hyun. Dae Jang Geum domain tv.",inform,"Dae Jang Geum is a poorly-rated historical fiction created by Lee Byung-hoon and written by Kim Young-hyun, starring Yang Mi-kyung, Im Ho, Jungjong of Joseon, and Jang-geum.",1,8,"Dae Jang Geum 'Historical Fiction' Poor 'None' 'Lee Byung-Hoon' 'Yang Mi-Kyung', 'Im Ho' 'Jungjong Of Joseon', 'Jang-Geum' 'Kim Young-Hyun'",inform,0.9835278988,0.02213457131,45.17819595,4.906081629,0.7409488,match_scores,1,27
46,"My Country: The New Age review score average. My Country: The New Age genre romance television series. My Country: The New Age cast member Kim Yeong-cheol, Yang Se-jong. My Country: The New Age domain tv.",give_opinion,"My Country: The New Age is an average romance television series with a great cast, like Kim Yeong-cheol and Yang Se-jong.",1,4,"My Country: The New Age Average 'Romance Television Series' 'Kim Yeong-Cheol', 'Yang Se-Jong'",give_opinion,0.9808522,0.01239588331,80.67194366,20.14499015,0.8404869,match_scores,1,21
47,"Gunpowder genre historical drama. Gunpowder creator J Blakeson. Gunpowder cast member Philip Hill-Pearson, Pedro Casablanc. Gunpowder domain tv.",inform,"Gunpowder is a historical drama created by J Blakeson, starring Philip Hill-Pearson and Pedro Casablanc.",1,4,"Gunpowder 'Historical Drama' 'J Blakeson' 'Philip Hill-Pearson', 'Pedro Casablanc'",inform,0.960757494,0.004159254198,240.4277191,2.719665272,0.78818965,match_scores_PPL,1,15
48,"tv show specifier dramatic. tv show creator J. A. Bayona, Charlotte Brandstrom’. tv show domain tv.",request,Have you seen anything dramatic from J. A. Bayona and Charlotte Brandstrom on TV?,1,5,"Dramatic 'J. A. Bayona', 'Charlotte Brandstrom’",request,0.9388894439,0.005592403902,178.8139801,8.513012361,0.76078856,match_scores,1,14
49,Dae Jang Geum review score poor. Dae Jang Geum domain tv.,recommend,Have you watched Dae Jang Geum? It has a poor review score.,1,2,Dae Jang Geum Poor,recommend,0.7734439373,0.007622969173,131.1824799,10.57107086,0.7794179,match_scores,1,12
50,tv show specifier engaging. tv show genre post-apocalyptic television series. tv show domain tv.,request,What post-apocalyptic television series was the most engaging for you?,1,3,Engaging 'Post-Apocalyptic Television Series',request,0.8883526325,0.02038001691,49.06767273,0,0.8499308,match_scores,1,10
51,Atlanta review score average. Atlanta domain tv.,give_opinion,I think Atlanta is an average show.,1,2,Atlanta Average,give_opinion,0.9847222,0.004453876189,224.5235291,5.522397784,0.8504689,match_scores,1,7
52,"Dae Jang Geum genre historical fiction. Dae Jang Geum creator Lee Byung-hoon. Dae Jang Geum cast member Lee Young-ae, Ji Jin-hee. Dae Jang Geum screenwriter Kim Young-hyun. Dae Jang Geum awards received None. Dae Jang Geum domain tv.",inform,"Dae Jang Geum is a historical fiction created by Lee Byung-hoon, starring Lee Young-ae and Ji Jin-hee, with Kim Young-hyun as its screenwriter. It hasn't won any awards.",1,6,"Dae Jang Geum 'Historical Fiction' 'Lee Byung-Hoon' 'Lee Young-Ae', 'Ji Jin-Hee' 'Kim Young-Hyun' 'None'",inform,0.9828384519,0.03524604359,28.37197876,4.639885534,0.710325,match_scores,1,28
53,Stranger Things genre coming-of-age television program. Stranger Things screenwriter Ross Duffer. Stranger Things domain tv.,inform,Stranger Things is a coming-of-age television program written by Ross Duffer.,1,3,Stranger Things 'Coming-Of-Age Television Program' 'Ross Duffer',inform,0.9272667766,0.0284219838,35.18403244,6.772997137,0.81007284,match_scores_PPL,1,11
54,"Perry Mason review score average. Perry Mason creator Deniz Gamze Ergüven, Tim Van Patten. Perry Mason genre television adaptation. Perry Mason domain tv.",give_opinion,"I think Perry Mason is an average show, but Deniz Gamze Ergüven and Tim Van Patten did a good job with the television adaptation.",1,4,"Perry Mason Average 'Deniz Gamze Ergüven', 'Tim Van Patten' 'Television Adaptation'",give_opinion,0.9841384,0.006533498386,153.0573578,3.632928878,0.79365855,match_scores,1,24
55,Self Made: Inspired by the Life of Madam C. J. Walker review score average. Self Made: Inspired by the Life of Madam C. J. Walker domain tv.,recommend,Have you seen Self Made: Inspired by the Life of Madam C. J. Walker? It has an average review score.,1,6,Self Made: Inspired By The Life Of Madam C. J. Walker Average,recommend,0.7123263478,0.01277335433,78.2879715,28.88005638,0.84489137,match_scores_PPL,1,20
56,"Belgravia review score average. Belgravia cast member Saskia Reeves, Diana Hardcastle. Belgravia genre television series based on a novel. Belgravia domain tv.",give_opinion,Belgravia is an average television series based on a novel with strong performances from Saskia Reeves and Diana Hardcastle.,1,4,"Belgravia Average 'Saskia Reeves', 'Diana Hardcastle' 'Television Series Based On A Novel'",give_opinion,0.93644595,0.006797616063,147.1103973,1.914603069,0.84471434,match_scores,1,19
57,Knightfall review score average. Knightfall genre action television series. Knightfall domain tv.,give_opinion,Knightfall is an average action television series.,1,3,Knightfall Average 'Action Television Series',give_opinion,0.6906806,0.005380416797,185.8592072,5.522397784,0.90554625,match_scores_PPL,1,7
58,Star Trek: Picard review score average. Star Trek: Picard domain tv.,recommend,Have you seen Star Trek: Picard? It has an average review score.,1,2,Star Trek: Picard Average,recommend,0.8553666472,0.01308323152,76.43371582,16.4519294,0.7866673,match_scores_PPL,1,12
59,tv show specifier dramatic. tv show awards received British Academy Television Award for Best Drama Series. tv show domain tv.,request,What drama series has won the British Academy Television Award for Best Drama Series?,1,3,Dramatic 'British Academy Television Award For Best Drama Series',request,0.5789194703,0.0208769042,47.89982224,12.30068629,0.88433033,match_scores_PPL,1,14
60,Ekaterina review score average. Ekaterina genre drama film. Ekaterina domain tv.,recommend,"Have you heard of Ekaterina, the drama film? It has an average review score.",1,3,Ekaterina Average 'Drama Film',recommend,0.8454282284,0.009935653093,100.6476364,2.286956778,0.7228235,match_scores,1,14
61,"The Last Kingdom genre television series based on a novel. The Last Kingdom creator Erik Leijonborg, Jamie Donoughue. The Last Kingdom awards received None. The Last Kingdom review score average. The Last Kingdom domain tv.",inform,The Last Kingdom is an average-rated television series based on a novel created by Erik Leijonborg and Jamie Donoughue.,1,5,"The Last Kingdom 'Television Series Based On A Novel' 'Erik Leijonborg', 'Jamie Donoughue' 'None' Average",inform,0.9892795682,0.01244365102,80.36226654,7.126955677,0.76887023,match_scores,1,19
62,Houdini review score average. Houdini creator Uli Edel. Houdini domain tv.,give_opinion,"I think Houdini, created by Uli Edel, is an average show.",1,3,Houdini Average 'Uli Edel',give_opinion,0.9796505,0.007795214797,128.2838287,2.839838723,0.84460515,match_scores_PPL,1,11
63,"Wolf Hall genre drama television series. Wolf Hall review score average. Wolf Hall cast member Jessica Raine, Janet Henfrey. Wolf Hall character Hans Holbein the Younger, Mary Shelton. Wolf Hall awards received Golden Globe Award for Best Miniseries or Television Film. Wolf Hall domain tv.",inform,"Wolf Hall is an average-rated drama television series starring Jessica Raine, Janet Henfrey, Hans Holbein the Younger, and Mary Shelton. It has won the Golden Globe Award for Best Miniseries or Television Film.",1,6,"Wolf Hall 'Drama Television Series' Average 'Jessica Raine', 'Janet Henfrey' 'Hans Holbein The Younger', 'Mary Shelton' 'Golden Globe Award For Best Miniseries Or Television Film'",inform,0.9851384759,0.01537887697,65.02425385,3.814335154,0.8346439,match_scores_PPL,1,33
64,Breaking Bad review score excellent. Breaking Bad awards received Primetime Emmy Award for Outstanding Single-Camera Picture Editing for a Drama Series. Breaking Bad screenwriter Vince Gilligan. Breaking Bad domain tv.,give_opinion,"Breaking Bad is an excellent show that won a Primetime Emmy Award for Outstanding Single-Camera Picture Editing for a Drama Series, and has great writing from Vince Gilligan.",1,4,Breaking Bad Excellent 'Primetime Emmy Award For Outstanding Single-Camera Picture Editing For A Drama Series' 'Vince Gilligan',give_opinion,0.9778438,0.06147048071,16.26797104,10.81559373,0.89321,match_scores,1,28
65,"Houdini genre historical drama. Houdini cast member David Calder’, Simon Nader. Houdini review score average. Houdini awards received None. Houdini character William Melville, Arthur Conan Doyle. Houdini creator Uli Edel. Houdini domain tv.",inform,"Houdini is an average-rated historical drama featuring David Calder’, Simon Nader, William Melville, and Arthur Conan Doyle, created by Uli Edel.",1,7,"Houdini 'Historical Drama' 'David Calder’, 'Simon Nader' Average 'None' 'William Melville', 'Arthur Conan Doyle' 'Uli Edel'",inform,0.9826335311,0.006380887249,156.7180176,3.632928878,0.76200795,match_scores,1,21
66,"Atlanta genre comedy television series. Atlanta screenwriter Donald Glover. Atlanta creator Donald Glover, Hiro Murai. Atlanta character Darius, Alfred ""Paper Boi"" Miles. Atlanta review score average. Atlanta cast member Zazie Beetz, Donald Glover. Atlanta domain tv.",inform,"Atlanta is an average-rated comedy television series created by Donald Glover and Hiro Murai, starring Donald Glover, Zazie Beetz, Darius, and Alfred ""Paper Boi"" Miles.",1,7,"Atlanta 'Comedy Television Series' 'Donald Glover' 'Donald Glover', 'Hiro Murai' 'Darius', 'Alfred ""Paper Boi"" Miles' Average 'Zazie Beetz', 'Donald Glover'",inform,0.9758657217,0.01183012393,84.52996826,8.635800047,0.7889047,match_scores_PPL,1,25
67,Star Trek: Picard review score average. Star Trek: Picard domain tv.,give_opinion,I would say that Star Trek: Picard is an average show.,1,2,Star Trek: Picard Average,give_opinion,0.96899396,0.0157200669,63.61296082,19.33853138,0.8562325,match_scores,1,11
68,"Peacemaker genre action television series. Peacemaker screenwriter James Gunn. Peacemaker cast member Steve Agee, Chuk Iwuji. Peacemaker creator James Gunn. Peacemaker domain tv.",inform,"Peacemaker is an action television series written by James Gunn, starring Steve Agee and Chuk Iwuji and created by James Gunn.",1,5,"Peacemaker 'Action Television Series' 'James Gunn' 'Steve Agee', 'Chuk Iwuji' 'James Gunn'",inform,0.9950140119,0.01300773893,76.87731171,1.958224833,0.80784357,match_scores,1,21
69,"Black Earth Rising genre drama. Black Earth Rising cast member John Goodman, Michaela Coel. Black Earth Rising creator Hugo Blick. Black Earth Rising review score average. Black Earth Rising character Brigadier General Lesage. Black Earth Rising domain tv.",inform,"Black Earth Rising is an average-rated drama starring John Goodman, Michaela Coel, and Brigadier General Lesage, created by Hugo Blick.",1,6,"Black Earth Rising 'Drama' 'John Goodman', 'Michaela Coel' 'Hugo Blick' Average 'Brigadier General Lesage'",inform,0.9751371145,0.007951831818,125.7571869,6.654221264,0.7282556,match_scores_PPL,1,20
70,"tv show specifier dramatic. tv show cast member Todd Terry, Bob Odenkirk. tv show domain tv.",request,Is there a Todd Terry or Bob Odenkirk show that is particularly dramatic?,1,3,"Dramatic 'Todd Terry', 'Bob Odenkirk'",request,0.9541483521,0.008667340805,115.3756409,0,0.78913623,match_scores,1,13
71,The Expanse genre television series based on a novel. The Expanse domain tv.,inform,The Expanse is a television series based on a novel.,1,2,The Expanse 'Television Series Based On A Novel',inform,0.9500306249,0.03214426465,31.10974884,7.495553473,0.8833903,match_scores_PPL,1,10
